Nr. of detectors, Nr. of user table parameter
1010    0
Det.no  Delta    Len2   Code     2theta
628      0.0    1.0041    1     164.488
629      0.0    1.0115    1     164.186
630      0.0    1.0115    1     164.186
631      0.0    1.0041    1     163.884
632      0.0    1.0041    1     163.884
633      0.0    1.0115    1     163.582
634      0.0    1.0115    1     163.582
635      0.0    1.0041    1     163.281
636      0.0    1.0041    1     163.281
637      0.0    1.0115    1     162.979
638      0.0    1.0115    1     162.979
639      0.0    1.0041    1     162.677
640      0.0    1.0041    1     162.677
641      0.0    1.0115    1     162.375
642      0.0    1.0115    1     162.375
643      0.0    1.0041    1     162.073
644      0.0    1.0041    1     162.073
645      0.0    1.0115    1     161.771
646      0.0    1.0115    1     161.771
647      0.0    1.0041    1     161.470
648      0.0    1.0041    1     161.470
649      0.0    1.0115    1     161.168
650      0.0    1.0115    1     161.168
651      0.0    1.0041    1     160.866
652      0.0    1.0041    1     160.866
653      0.0    1.0115    1     160.564
654      0.0    1.0115    1     160.564
655      0.0    1.0041    1     160.262
656      0.0    1.0041    1     160.262
657      0.0    1.0115    1     159.960
658      0.0    1.0115    1     159.960
659      0.0    1.0041    1     159.659
660      0.0    1.0041    1     159.659
661      0.0    1.0115    1     159.357
662      0.0    1.0115    1     159.357
663      0.0    1.0041    1     159.055
664      0.0    1.0041    1     159.055
665      0.0    1.0115    1     158.753
666      0.0    1.0115    1     158.753
667      0.0    1.0041    1     158.451
668      0.0    1.0041    1     158.451
669      0.0    1.0115    1     158.149
670      0.0    1.0115    1     158.149
671      0.0    1.0041    1     157.848
672      0.0    1.0041    1     157.848
673      0.0    1.0115    1     157.546
674      0.0    1.0115    1     157.546
675      0.0    1.0041    1     157.244
676      0.0    1.0041    1     157.244
677      0.0    1.0115    1     156.942
678      0.0    1.0115    1     156.942
679      0.0    1.0041    1     156.640
680      0.0    1.0041    1     156.640
681      0.0    1.0115    1     156.338
682      0.0    1.0115    1     156.338
683      0.0    1.0041    1     156.037
684      0.0    1.0041    1     156.037
685      0.0    1.0115    1     155.735
686      0.0    1.0115    1     155.735
687      0.0    1.0041    1     155.433
688      0.0    1.0041    1     155.433
689      0.0    1.0115    1     155.131
690      0.0    1.0115    1     155.131
691      0.0    1.0041    1     154.829
692      0.0    1.0041    1     154.829
693      0.0    1.0115    1     154.527
694      0.0    1.0115    1     154.527
695      0.0    1.0041    1     154.226
696      0.0    1.0041    1     154.226
697      0.0    1.0115    1     153.924
698      0.0    1.0115    1     153.924
699      0.0    1.0041    1     153.622
700      0.0    1.0041    1     153.622
701      0.0    1.0115    1     153.320
702      0.0    1.0115    1     153.320
703      0.0    1.0041    1     153.018
704      0.0    1.0041    1     153.018
705      0.0    1.0115    1     152.717
706      0.0    1.0115    1     152.717
707      0.0    1.0041    1     152.415
708      0.0    1.0041    1     152.415
709      0.0    1.0115    1     152.113
710      0.0    1.0115    1     152.113
711      0.0    1.0041    1     151.811
712      0.0    1.0041    1     151.811
713      0.0    1.0115    1     151.509
714      0.0    1.0115    1     151.509
715      0.0    1.0041    1     151.207
716      0.0    1.0041    1     151.207
717      0.0    1.0115    1     150.906
718      0.0    1.0115    1     150.906
719      0.0    1.0041    1     150.604
720      0.0    1.0041    1     150.604
721      0.0    1.0115    1     150.302
722      0.0    1.0115    1     150.302
723      0.0    1.0115    1     171.128
724      0.0    1.0041    1     170.826
725      0.0    1.0115    1     170.525
726      0.0    1.0041    1     170.223
727      0.0    1.0115    1     169.921
728      0.0    1.0041    1     169.619
729      0.0    1.0115    1     169.317
730      0.0    1.0041    1     169.015
731      0.0    1.0115    1     168.714
732      0.0    1.0041    1     168.412
733      0.0    1.0115    1     168.110
734      0.0    1.0041    1     167.808
735      0.0    1.0115    1     167.506
736      0.0    1.0041    1     167.204
737      0.0    1.0115    1     166.903
738      0.0    1.0041    1     166.601
739      0.0    1.0115    1     166.299
740      0.0    1.0041    1     165.997
741      0.0    1.0115    1     165.695
742      0.0    1.0041    1     165.393
743      0.0    1.0041    1     165.092
744      0.0    1.0041    1     165.092
745      0.0    1.0115    1     164.790
746      0.0    1.0115    1     164.790
747      0.0    1.0041    1     164.488
748      0.0    1.0041    1     164.488
749      0.0    1.0115    1     164.186
750      0.0    1.0115    1     164.186
751      0.0    1.0041    1     163.884
752      0.0    1.0041    1     163.884
753      0.0    1.0115    1     163.582
754      0.0    1.0115    1     163.582
755      0.0    1.0041    1     163.281
756      0.0    1.0041    1     163.281
757      0.0    1.0115    1     162.979
758      0.0    1.0115    1     162.979
759      0.0    1.0041    1     162.677
760      0.0    1.0041    1     162.677
761      0.0    1.0115    1     162.375
762      0.0    1.0115    1     162.375
763      0.0    1.0041    1     162.073
764      0.0    1.0041    1     162.073
765      0.0    1.0115    1     161.771
766      0.0    1.0115    1     161.771
767      0.0    1.0041    1     161.470
768      0.0    1.0041    1     161.470
769      0.0    1.0115    1     161.168
770      0.0    1.0115    1     161.168
771      0.0    1.0041    1     160.866
772      0.0    1.0041    1     160.866
773      0.0    1.0115    1     160.564
774      0.0    1.0115    1     160.564
775      0.0    1.0041    1     160.262
776      0.0    1.0041    1     160.262
777      0.0    1.0115    1     159.960
